1000000,Schwarzwurzel
1000002,trockene schwarze Mungbohnen
1000003,gekochte schwarze Mungbohnen
1000007,Müsli und Granola mit Joghurt
1000014,rohe geschnittene Wachspaprika
1000015,bandh gobi
1000017,Savoykohlkopf
1000018,grüner Kohlkopf
1000019,Weißkohlkopf
1000026,panierter Lachs
1000029,rohe orangefarbene Süßkartoffeln
1000030,rohe lila Süßkartoffeln
1000031,geröstete Kokosnussflocken
1000032,weiße Kokosflocken
1000033,picadillo
1000035,einfach gekochter Haferbrei aus Stahl geschnitten
1000036,pain au chocolat
1000039,ganze weiße Pizza
1000041,Römersalatblatt
1000042,rohe geschälte Süßkartoffel
1000043,zerbröselter Cotija-Käse
1000044,bocconcini
1000045,weicher weißer Käse
1000046,lila Chips
1000047,lila Süßkartoffelchips
1000049,lila Kartoffelchips
1000050,geschnittener weißer Cheddar
1000051,geschnittener Havarti-Käse
1000052,geschnittener weißer amerikanischer Käse
1000056,offenes PBJ-Bagel
1000057,rohes Rindersteak
1000058,rohe Stücke rotes Fleisch
1000059,mariniertes rohes Rindfleisch
1000060,rohe geschnittene gelbe Süßkartoffel
1000061,rohe geschnittene lila Süßkartoffel
1000062,rohe geschnittene orangefarbene Süßkartoffel
1000065,Tomaten Fleischsoße
1000066,Tomaten-Gemüsesauce
1000067,Tomatenpüree
1000068,weiße Dip mit Kräutern
1000070,geschnittener Mozzarella-Käse
1000071,Scheiben Feta-Käse
1000072,Scheiben von Queso Blanco
1000073,lila Marmeladen
1000075,Blauschimmelkäse-Dressing
1000076,Caesar Dressing
1000077,Ranch Dressing
1000078,Mohnsamen-Dressing
1000079,coleslaw dressing -> Coleslaw-Dressing
1000080,fettreduziertes Ranch-Dressing
1000081,reduziertes Fett Caesar Dressing
1000082,Knoblauch- und Zwiebeldressing
1000083,weiße Bohnen-Dip
1000084,Spinat-Dip
1000089,Schokoladenaufstriche und Sirupe
1000091,weiße Schokoladenpralinen
1000092,ossobuco
1000101,gefrorene Mini-Pizzen
1000102,Mini Pizzen
1000109,rote saure Gummiringe
1000110,rote Apfel-Gummiringe
1000111,Kirsch-Gummiringe
1000112,pluot
1000113,Kraffin Kuchenscheibe
1000114,kraffin Kuchen
1000115,Wachteleier
1000116,Milchschokoladenpralinen mit Füllung
1000117,Haselnuss gefüllte Pralinen
1000118,Almond Gold Schokoladenriegel
1000119,Cadbury Frucht- und Nussriegel
1000120,Cadbury Dairy Milk Mandel Riegel
1000121,Lindt Schokoladen-Haselnuss-Riegel
1000122,Emmental Käse
1000123,Orangenkäse
1000124,geschnittener Orangenkäse
1000126,geschnittener Colby-Käse
1000127,Rose-Äpfel
1000128,Rose-Apfel Früchte
1000129,Malay Rose Apfel
1000130,Java Rosenapfel
1000131,wässrige Rosenapfel
1000133,gefüllte Äpfel
1000134,gebackene gefüllte Äpfel
1000135,rohe gefüllte Äpfel
1000136,Pasta mit Zucchini
1000137,grüner Milchshake
1000138,roher Rinderbraten
1000141,japanisches Omelett
1000142,gebratene Hühnermagen
1000143,Udon Schüssel
1000144,Rhabarbersaft
1000145,Spirulina Seetang
1000146,Kelp -> Kelp
1000147,getrocknete Jujube
1000148,jujube
1000149,Kartoffelnudeln mit Sauerkraut
1000150,Kartoffelnudeln
1000151,rote Rhabarberstangen
1000152,grüne Rhabarberstangen
1000153,gehackter grüner Rhabarber
1000154,gehackter roter Rhabarber
1000155,Weizenkleieflakes mit Milch und Beeren
